region,city,city_region,latitude,longitude,lat_lon_hdbscan_cluster_05_03,lat_lon_hdbscan_cluster_10_03,lat_lon_hdbscan_cluster_20_03,region_id,city_region_id
Свердловская область,Екатеринбург,Екатеринбург Свердловская область,56.83892609999999,60.6057025,65,38,21,19,477
Самарская область,Самара,Самара Самарская область,53.2415041,50.2212463,58,36,19,17,1370
Ростовская область,Ростов-на-Дону,Ростов-на-Дону Ростовская область,47.2357137,39.701505,46,40,9,16,1346
Татарстан,Набережные Челны,Набережные Челны Татарстан,55.7185054,52.3721038,55,33,18,21,982
Волгоградская область,Волгоград,Волгоград Волгоградская область,48.708048,44.5133035,31,17,-1,4,327
Татарстан,Чистополь,Чистополь Татарстан,55.3634734,50.6404638,-1,-1,-1,21,1743
Нижегородская область,Нижний Новгород,Нижний Новгород Нижегородская область,56.2965039,43.93605900000001,3,2,1,11,1018
Пермский край,Пермь,Пермь Пермский край,58.02968129999999,56.2667916,43,23,12,15,1213
Оренбургская область,Оренбург,Оренбург Оренбургская область,51.7666482,55.1004538,49,27,15,14,1162
Ханты-Мансийский АО,Ханты-Мансийск,Ханты-Мансийск Ханты-Мансийский АО,61.00909189999999,69.03745959999999,-1,-1,-1,25,1688
Тюменская область,Заводоуковск,Заводоуковск Тюменская область,56.4982712,66.5488424,41,24,13,23,514
Башкортостан,Туймазы,Туймазы Башкортостан,54.598534,53.6921837,56,34,18,1,1608
Татарстан,Казань,Казань Татарстан,55.8304307,49.06608060000001,47,26,14,21,607
Краснодарский край,Краснодар,Краснодар Краснодарский край,45.03926740000001,38.9872209,46,41,9,9,753
Новосибирская область,Новосибирск,Новосибирск Новосибирская область,55.00835259999999,82.9357327,27,14,8,12,1092
Омская область,Москаленки,Москаленки Омская область,54.9389045,71.9437465,12,8,5,13,964
Белгородская область,Белгород,Белгород Белгородская область,50.5997134,36.5982621,35,20,10,2,142
Новосибирская область,Бердск,Бердск Новосибирская область,54.7750638,83.08003149999999,27,14,8,12,157
Челябинская область,Магнитогорск,Магнитогорск Челябинская область,53.4129429,59.00162330000001,32,18,-1,26,891
Воронежская область,Воронеж,Воронеж Воронежская область,51.6754966,39.2088823,38,22,11,5,340
Самарская область,Тольятти,Тольятти Самарская область,53.5086002,49.4198344,57,35,19,17,1589
Кемеровская область,Новокузнецк,Новокузнецк Кемеровская область,53.7595935,87.12157049999999,24,11,7,8,1067
Саратовская область,Саратов,Саратов Саратовская область,51.5923654,45.9608031,28,15,-1,18,1375
Ростовская область,Аксай,Аксай Ростовская область,47.2651252,39.8705857,46,40,9,16,22
Краснодарский край,Армавир,Армавир Краснодарский край,44.9873603,41.1111326,46,44,9,9,71
Владимирская область,Владимир,Владимир Владимирская область,56.1445956,40.4178687,3,2,1,3,322
Калининградская область,Гвардейск,Гвардейск Калининградская область,54.6521344,21.0670357,0,0,0,7,366
Челябинская область,Челябинск,Челябинск Челябинская область,55.1644419,61.4368432,61,30,20,26,1718
Ханты-Мансийский АО,Пойковский,Пойковский Ханты-Мансийский АО,60.9935917,71.90037439999999,6,5,3,25,1254
Красноярский край,Красноярск,Красноярск Красноярский край,56.01528339999999,92.8932476,17,9,6,10,773
Краснодарский край,Сочи,Сочи Краснодарский край,43.60280789999999,39.7341543,33,-1,-1,9,1466
Ростовская область,Шахты,Шахты Ростовская область,47.7236224,40.2355138,46,40,9,16,1760
Башкортостан,Стерлитамак,Стерлитамак Башкортостан,53.65543530000001,55.9438931,48,27,15,1,1505
